tweet_id,jpg_url,img_num,isdog,conf,type
666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,111,"0.465074,0.156665,0.0614285","Welsh_Springer_Spaniel,Collie,Shetland_Sheepdog"
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,111,"0.506826,0.0741917,0.07201","Redbone,Miniature_Pinscher,Rhodesian_Ridgeback"
666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,111,"0.596461,0.138584,0.116197","German_Shepherd,Malinois,Bloodhound"
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,111,"0.408143,0.360687,0.222752","Rhodesian_Ridgeback,Redbone,Miniature_Pinscher"
666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,111,"0.560311,0.243682,0.154629","Miniature_Pinscher,Rottweiler,Doberman"
666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,111,"0.651137,0.263788,0.0161992","Bernese_Mountain_Dog,English_Springer,Greater_Swiss_Mountain_Dog"
666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,000,"0.933012,0.0458854,0.0178853","Box_Turtle,Mud_Turtle,Terrapin"
666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,110,"0.692517,0.0582794,0.0544486","Chow,Tibetan_Mastiff,Fur_Coat"
666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,001,"0.962465,0.0145938,0.00795896","Shopping_Cart,Shopping_Basket,Golden_Retriever"
666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,111,"0.201493,0.192305,0.0820861","Miniature_Poodle,Komondor,Soft-Coated_Wheaten_Terrier"
666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,111,"0.77593,0.0937178,0.0724266","Golden_Retriever,Tibetan_Mastiff,Labrador_Retriever"
666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,111,"0.503672,0.174201,0.109454","Gordon_Setter,Yorkshire_Terrier,Pekinese"
666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1,111,"0.260857,0.175382,0.0974705","Walker_Hound,English_Foxhound,Ibizan_Hound"
666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1,111,"0.489814,0.404722,0.0489595","Pug,Bull_Mastiff,French_Bulldog"
666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1,111,"0.195217,0.0782598,0.0756278","Bloodhound,German_Shepherd,Malinois"
666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,111,"0.58233,0.166192,0.0896883","Lhasa,Shih-Tzu,Dandie_Dinmont"
666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1,111,"0.298617,0.149842,0.133649","English_Setter,Newfoundland,Borzoi"
